order_id,order_date,day_of_week,product_category,occasion_tag,quantity_sold,revenue,order_channel,delivery_flag
ORD-00052,2023-01-08,Sunday,roses,walk-in,3,41.5,in-store,False
ORD-00053,2023-01-09,Monday,lilies,birthday,2,39.02,online,True
ORD-00054,2023-01-09,Monday,lilies,corporate,10,172.84,in-store,False
ORD-00055,2023-01-09,Monday,gardenias,walk-in,4,63.1,in-store,False
ORD-00056,2023-01-09,Monday,roses,walk-in,3,48.58,online,True
ORD-00057,2023-01-09,Monday,lilies,walk-in,1,18.04,in-store,False
ORD-00058,2023-01-09,Monday,peonies,birthday,2,49.11,online,True
ORD-00059,2023-01-09,Monday,peonies,walk-in,4,90.84,in-store,False
ORD-00060,2023-01-09,Monday,roses,walk-in,1,11.41,in-store,True
ORD-00061,2023-01-10,Tuesday,lilies,birthday,2,43.09,in-store,False
ORD-00062,2023-01-10,Tuesday,sunflowers,walk-in,5,52.4,in-store,False
ORD-00063,2023-01-10,Tuesday,lilies,sympathy,2,45.18,online,True
ORD-00064,2023-01-10,Tuesday,tulips,Valentine's Day,24,425.78,online,True
ORD-00065,2023-01-10,Tuesday,lilies,anniversary,5,109.19,in-store,False
ORD-00066,2023-01-10,Tuesday,ferns,corporate,10,118.31,online,True
ORD-00067,2023-01-10,Tuesday,hydrangeas,walk-in,3,66.37,in-store,False
ORD-00068,2023-01-10,Tuesday,tulips,walk-in,3,40.92,in-store,False
ORD-00069,2023-01-10,Tuesday,orchids,sympathy,5,221.13,in-store,False
ORD-00070,2023-01-11,Wednesday,gardenias,hospital,6,109.25,in-store,False
ORD-00071,2023-01-11,Wednesday,hydrangeas,walk-in,3,64.68,in-store,False
ORD-00072,2023-01-11,Wednesday,peonies,walk-in,2,43.86,in-store,False
ORD-00073,2023-01-11,Wednesday,orchids,walk-in,2,71.4,in-store,False
ORD-00074,2023-01-11,Wednesday,sunflowers,walk-in,3,46.42,in-store,True
ORD-00075,2023-01-11,Wednesday,peonies,walk-in,6,132.87,in-store,False
ORD-00076,2023-01-11,Wednesday,ferns,hospital,2,15.15,in-store,False
ORD-00077,2023-01-11,Wednesday,lilies,sympathy,4,82.68,online,True
ORD-00078,2023-01-11,Wednesday,gardenias,walk-in,6,80.7,in-store,False
ORD-00079,2023-01-11,Wednesday,roses,graduation,4,43.44,online,True
ORD-00080,2023-01-11,Wednesday,gardenias,hospital,4,65.67,online,True
ORD-00081,2023-01-12,Thursday,tulips,birthday,3,45.1,online,True
ORD-00082,2023-01-12,Thursday,hydrangeas,graduation,5,143.47,online,False
ORD-00083,2023-01-12,Thursday,gardenias,walk-in,3,52.92,in-store,False
ORD-00084,2023-01-12,Thursday,gardenias,anniversary,1,19.97,in-store,False
ORD-00085,2023-01-12,Thursday,roses,birthday,5,52.26,online,True
ORD-00086,2023-01-13,Friday,orchids,anniversary,2,65.81,in-store,False
ORD-00087,2023-01-13,Friday,sunflowers,birthday,4,55.42,online,True
ORD-00088,2023-01-13,Friday,orchids,walk-in,3,124.22,in-store,False
ORD-00089,2023-01-13,Friday,tulips,hospital,4,51.81,in-store,True
ORD-00090,2023-01-13,Friday,peonies,walk-in,5,93.62,in-store,False
ORD-00091,2023-01-13,Friday,tulips,graduation,2,23.66,in-store,True
ORD-00092,2023-01-14,Saturday,peonies,walk-in,2,56.07,in-store,True
ORD-00093,2023-01-14,Saturday,peonies,anniversary,5,117.97,in-store,True
ORD-00094,2023-01-14,Saturday,ferns,walk-in,3,40.43,in-store,False
ORD-00095,2023-01-14,Saturday,roses,walk-in,4,51.95,in-store,False
ORD-00096,2023-01-14,Saturday,gardenias,sympathy,2,36.0,in-store,False
ORD-00097,2023-01-15,Sunday,peonies,Mother's Day,18,454.63,online,True
ORD-00098,2023-01-15,Sunday,orchids,walk-in,2,61.27,in-store,False
ORD-00099,2023-01-15,Sunday,lilies,sympathy,2,45.08,in-store,False
ORD-00100,2023-01-15,Sunday,orchids,wedding,10,469.69,online,True
ORD-00101,2023-01-15,Sunday,sunflowers,corporate,12,116.8,online,True
ORD-00102,2023-01-15,Sunday,lilies,sympathy,2,44.74,online,True
ORD-00103,2023-01-15,Sunday,roses,birthday,1,12.14,in-store,True
ORD-00104,2023-01-15,Sunday,peonies,graduation,4,121.03,online,True
ORD-00105,2023-01-16,Monday,sunflowers,walk-in,3,45.2,in-store,False
ORD-00106,2023-01-16,Monday,hydrangeas,corporate,5,123.15,in-store,False
ORD-00107,2023-01-16,Monday,orchids,walk-in,2,103.93,in-store,False
ORD-00108,2023-01-16,Monday,tulips,walk-in,6,86.83,online,True
ORD-00109,2023-01-16,Monday,roses,sympathy,2,25.59,online,True
ORD-00110,2023-01-16,Monday,lilies,walk-in,6,121.64,in-store,False
ORD-00111,2023-01-17,Tuesday,lilies,sympathy,2,41.25,in-store,False
ORD-00112,2023-01-17,Tuesday,hydrangeas,wedding,5,151.55,in-store,False
ORD-00113,2023-01-17,Tuesday,gardenias,walk-in,6,96.68,in-store,False
ORD-00114,2023-01-18,Wednesday,peonies,sympathy,5,109.82,in-store,False
ORD-00115,2023-01-18,Wednesday,gardenias,sympathy,2,33.35,online,True
ORD-00116,2023-01-18,Wednesday,peonies,walk-in,3,71.17,in-store,False
ORD-00117,2023-01-18,Wednesday,orchids,walk-in,4,146.32,in-store,False
ORD-00118,2023-01-18,Wednesday,ferns,corporate,8,107.69,in-store,False
ORD-00119,2023-01-19,Thursday,peonies,walk-in,4,114.79,in-store,False
ORD-00120,2023-01-19,Thursday,sunflowers,birthday,3,38.9,in-store,False
ORD-00121,2023-01-19,Thursday,orchids,birthday,4,201.42,online,True
ORD-00122,2023-01-19,Thursday,orchids,walk-in,5,215.23,in-store,False
ORD-00123,2023-01-20,Friday,ferns,wedding,12,121.84,in-store,False
ORD-00124,2023-01-20,Friday,orchids,birthday,6,196.51,in-store,False
ORD-00125,2023-01-20,Friday,peonies,walk-in,4,96.87,in-store,False
ORD-00126,2023-01-20,Friday,orchids,corporate,15,489.07,online,True
ORD-00127,2023-01-20,Friday,gardenias,walk-in,6,108.55,in-store,False
ORD-00128,2023-01-20,Friday,hydrangeas,sympathy,3,78.58,in-store,False
ORD-00129,2023-01-21,Saturday,hydrangeas,birthday,4,121.94,in-store,False
ORD-00130,2023-01-21,Saturday,roses,corporate,10,148.0,online,True
ORD-00131,2023-01-21,Saturday,ferns,birthday,2,27.76,in-store,False
ORD-00132,2023-01-21,Saturday,lilies,corporate,12,272.51,in-store,False
ORD-00133,2023-01-21,Saturday,roses,corporate,8,112.85,online,True
ORD-00134,2023-01-21,Saturday,roses,hospital,2,28.98,in-store,False
ORD-00135,2023-01-21,Saturday,hydrangeas,anniversary,5,142.32,online,True
ORD-00136,2023-01-21,Saturday,ferns,walk-in,2,31.67,in-store,False
ORD-00137,2023-01-21,Saturday,peonies,graduation,3,70.17,in-store,False
ORD-00138,2023-01-22,Sunday,lilies,corporate,10,245.68,online,True
ORD-00139,2023-01-22,Sunday,ferns,walk-in,4,54.43,in-store,False
ORD-00140,2023-01-22,Sunday,peonies,wedding,8,169.05,online,True
ORD-00141,2023-01-22,Sunday,ferns,walk-in,2,23.12,in-store,False
ORD-00142,2023-01-22,Sunday,sunflowers,birthday,2,22.98,in-store,False
ORD-00143,2023-01-22,Sunday,sunflowers,graduation,3,41.4,online,True
ORD-00144,2023-01-22,Sunday,hydrangeas,corporate,20,501.37,online,True
ORD-00145,2023-01-22,Sunday,peonies,anniversary,4,99.58,in-store,False
ORD-00146,2023-01-22,Sunday,roses,walk-in,4,43.85,in-store,False
ORD-00147,2023-01-23,Monday,tulips,anniversary,2,31.34,online,True
ORD-00148,2023-01-23,Monday,hydrangeas,walk-in,2,51.79,in-store,False
ORD-00149,2023-01-23,Monday,tulips,walk-in,2,25.81,in-store,False
ORD-00150,2023-01-23,Monday,sunflowers,birthday,3,31.97,online,True
ORD-00151,2023-01-24,Tuesday,gardenias,hospital,3,57.9,in-store,False
ORD-00152,2023-01-24,Tuesday,orchids,birthday,3,132.24,in-store,False
ORD-00153,2023-01-24,Tuesday,hydrangeas,walk-in,4,106.08,online,True
ORD-00154,2023-01-25,Wednesday,lilies,birthday,1,23.13,online,True
ORD-00155,2023-01-25,Wednesday,orchids,corporate,8,267.65,online,True
ORD-00156,2023-01-25,Wednesday,tulips,walk-in,4,53.04,online,True
ORD-00157,2023-01-26,Thursday,roses,anniversary,1,15.33,online,True
ORD-00158,2023-01-27,Friday,roses,sympathy,2,25.04,online,False
ORD-00159,2023-01-27,Friday,peonies,corporate,10,218.55,online,True
ORD-00160,2023-01-27,Friday,roses,walk-in,5,64.26,in-store,False
ORD-00161,2023-01-27,Friday,ferns,anniversary,5,63.26,in-store,False
ORD-00162,2023-01-27,Friday,hydrangeas,anniversary,2,55.84,in-store,True
ORD-00163,2023-01-28,Saturday,lilies,anniversary,3,52.76,in-store,False
ORD-00164,2023-01-28,Saturday,tulips,walk-in,3,44.55,in-store,False
ORD-00165,2023-01-28,Saturday,roses,walk-in,2,28.37,in-store,False
ORD-00166,2023-01-28,Saturday,peonies,birthday,2,47.15,in-store,False
ORD-00167,2023-01-28,Saturday,hydrangeas,corporate,10,219.8,online,True
ORD-00168,2023-01-28,Saturday,hydrangeas,walk-in,2,47.43,in-store,False
ORD-00169,2023-01-28,Saturday,tulips,walk-in,4,64.0,in-store,True
ORD-00170,2023-01-28,Saturday,roses,anniversary,1,16.65,online,True
ORD-00171,2023-01-28,Saturday,roses,corporate,5,48.87,in-store,False
ORD-00172,2023-01-28,Saturday,ferns,anniversary,1,13.2,online,True
ORD-00173,2023-01-28,Saturday,hydrangeas,birthday,3,70.95,in-store,True
ORD-00174,2023-01-29,Sunday,tulips,sympathy,3,52.21,online,True
ORD-00175,2023-01-30,Monday,roses,walk-in,4,60.05,in-store,False
ORD-00176,2023-01-30,Monday,sunflowers,birthday,5,68.83,online,True
ORD-00177,2023-01-30,Monday,gardenias,corporate,10,138.97,online,True
ORD-00178,2023-01-30,Monday,roses,walk-in,3,35.24,in-store,False
ORD-00179,2023-01-30,Monday,gardenias,walk-in,5,94.73,in-store,False
ORD-00180,2023-01-30,Monday,ferns,hospital,3,42.26,in-store,False
ORD-00181,2023-01-30,Monday,roses,walk-in,2,29.82,in-store,False
ORD-00182,2023-01-30,Monday,hydrangeas,walk-in,3,79.53,in-store,False
ORD-00183,2023-01-31,Tuesday,tulips,walk-in,3,49.48,in-store,True
ORD-00184,2023-01-31,Tuesday,orchids,walk-in,2,91.72,online,False
ORD-00185,2023-01-31,Tuesday,lilies,birthday,2,41.12,online,True
ORD-00186,2023-01-31,Tuesday,tulips,sympathy,3,45.28,online,True
ORD-00187,2023-01-31,Tuesday,sunflowers,anniversary,4,54.18,in-store,False
ORD-00188,2023-01-31,Tuesday,roses,birthday,2,31.29,in-store,True
ORD-00189,2023-02-01,Wednesday,gardenias,walk-in,2,43.04,online,True
ORD-00190,2023-02-01,Wednesday,sunflowers,birthday,2,22.86,online,True
ORD-00191,2023-02-01,Wednesday,roses,hospital,3,38.73,in-store,False
ORD-00192,2023-02-01,Wednesday,sunflowers,walk-in,3,38.09,in-store,False
ORD-00193,2023-02-01,Wednesday,tulips,anniversary,6,106.64,in-store,False
ORD-00194,2023-02-01,Wednesday,sunflowers,sympathy,5,68.69,in-store,False
ORD-00195,2023-02-01,Wednesday,lilies,anniversary,2,48.74,in-store,False
ORD-00196,2023-02-01,Wednesday,ferns,walk-in,2,24.09,in-store,False
ORD-00197,2023-02-01,Wednesday,roses,birthday,1,12.32,online,True
ORD-00198,2023-02-02,Thursday,ferns,walk-in,5,66.41,in-store,False
ORD-00199,2023-02-02,Thursday,orchids,anniversary,2,87.31,in-store,True
ORD-00200,2023-02-02,Thursday,gardenias,walk-in,3,59.79,in-store,False
ORD-00201,2023-02-02,Thursday,roses,walk-in,3,43.9,in-store,False
ORD-00202,2023-02-02,Thursday,lilies,sympathy,3,49.98,in-store,False
ORD-00203,2023-02-03,Friday,tulips,walk-in,4,54.79,in-store,False
ORD-00204,2023-02-03,Friday,ferns,sympathy,4,42.66,online,False
ORD-00205,2023-02-03,Friday,roses,walk-in,5,63.16,in-store,False
ORD-00206,2023-02-04,Saturday,tulips,hospital,1,16.24,in-store,False
ORD-00207,2023-02-04,Saturday,orchids,birthday,4,168.76,online,True
ORD-00208,2023-02-04,Saturday,roses,walk-in,2,22.28,in-store,False
ORD-00209,2023-02-04,Saturday,lilies,sympathy,5,85.14,online,False
ORD-00210,2023-02-05,Sunday,roses,walk-in,3,48.26,online,True
ORD-00211,2023-02-06,Monday,tulips,graduation,3,52.85,online,True
ORD-00212,2023-02-06,Monday,lilies,walk-in,5,98.16,in-store,False
ORD-00213,2023-02-06,Monday,lilies,walk-in,3,62.64,in-store,False
ORD-00214,2023-02-06,Monday,ferns,birthday,2,32.38,in-store,False
ORD-00215,2023-02-07,Tuesday,peonies,Valentine's Day,18,460.14,online,True
ORD-00216,2023-02-07,Tuesday,roses,Valentine's Day,18,214.45,online,True
ORD-00217,2023-02-07,Tuesday,roses,graduation,5,67.6,in-store,False
ORD-00218,2023-02-07,Tuesday,roses,Valentine's Day,18,228.54,online,True
ORD-00219,2023-02-07,Tuesday,roses,Valentine's Day,24,304.45,in-store,True
ORD-00220,2023-02-07,Tuesday,ferns,birthday,3,26.77,online,True
ORD-00221,2023-02-07,Tuesday,roses,Valentine's Day,12,197.14,online,False
ORD-00222,2023-02-07,Tuesday,peonies,hospital,2,37.13,online,True
ORD-00223,2023-02-07,Tuesday,roses,Valentine's Day,18,244.94,in-store,False
ORD-00224,2023-02-07,Tuesday,hydrangeas,corporate,12,331.83,in-store,False
ORD-00225,2023-02-08,Wednesday,hydrangeas,Valentine's Day,12,390.06,online,True
ORD-00226,2023-02-08,Wednesday,ferns,birthday,1,8.25,in-store,False
ORD-00227,2023-02-08,Wednesday,ferns,birthday,5,66.13,online,True
ORD-00228,2023-02-09,Thursday,roses,Valentine's Day,12,145.89,online,True
ORD-00229,2023-02-09,Thursday,lilies,corporate,12,262.13,online,True
ORD-00230,2023-02-09,Thursday,orchids,sympathy,5,196.98,in-store,False
ORD-00231,2023-02-09,Thursday,sunflowers,Valentine's Day,12,184.54,in-store,True
ORD-00232,2023-02-09,Thursday,roses,Valentine's Day,12,137.51,in-store,False
ORD-00233,2023-02-09,Thursday,ferns,anniversary,2,21.44,in-store,False
ORD-00234,2023-02-10,Friday,roses,Valentine's Day,6,68.81,online,True
ORD-00235,2023-02-10,Friday,tulips,walk-in,4,58.44,in-store,False
ORD-00236,2023-02-10,Friday,roses,Valentine's Day,6,94.12,online,True
ORD-00237,2023-02-10,Friday,roses,Valentine's Day,12,189.14,in-store,False
ORD-00238,2023-02-10,Friday,ferns,birthday,4,51.97,in-store,False
ORD-00239,2023-02-10,Friday,tulips,Valentine's Day,6,94.95,in-store,False
ORD-00240,2023-02-10,Friday,ferns,walk-in,3,39.37,online,True
ORD-00241,2023-02-10,Friday,tulips,Valentine's Day,12,136.55,in-store,False
ORD-00242,2023-02-10,Friday,tulips,Valentine's Day,12,171.43,in-store,False
ORD-00243,2023-02-10,Friday,tulips,walk-in,5,79.12,in-store,False
ORD-00244,2023-02-10,Friday,hydrangeas,Valentine's Day,24,707.82,online,True
ORD-00245,2023-02-11,Saturday,roses,Valentine's Day,24,372.29,online,True
ORD-00246,2023-02-11,Saturday,roses,Valentine's Day,18,263.81,in-store,False
ORD-00247,2023-02-11,Saturday,orchids,Valentine's Day,6,175.49,in-store,False
ORD-00248,2023-02-11,Saturday,peonies,Valentine's Day,24,671.78,in-store,True
ORD-00249,2023-02-11,Saturday,roses,Valentine's Day,18,227.88,in-store,False
ORD-00250,2023-02-11,Saturday,roses,Valentine's Day,18,265.33,online,True
ORD-00251,2023-02-12,Sunday,roses,Valentine's Day,12,149.08,in-store,False
ORD-00252,2023-02-12,Sunday,hydrangeas,Valentine's Day,12,332.41,online,True
ORD-00253,2023-02-12,Sunday,hydrangeas,Valentine's Day,12,405.9,online,False
ORD-00254,2023-02-12,Sunday,roses,Valentine's Day,18,214.93,in-store,False
ORD-00255,2023-02-12,Sunday,tulips,Valentine's Day,24,360.15,online,True
ORD-00256,2023-02-12,Sunday,hydrangeas,Valentine's Day,12,310.08,in-store,False
ORD-00257,2023-02-12,Sunday,peonies,Valentine's Day,6,153.1,in-store,False
ORD-00258,2023-02-12,Sunday,roses,birthday,6,73.67,online,True
ORD-00259,2023-02-12,Sunday,tulips,Valentine's Day,18,343.37,in-store,False
ORD-00260,2023-02-12,Sunday,orchids,Valentine's Day,24,909.72,online,False
ORD-00261,2023-02-12,Sunday,roses,anniversary,4,46.67,in-store,False
ORD-00262,2023-02-12,Sunday,roses,Valentine's Day,24,360.32,in-store,True
ORD-00263,2023-02-12,Sunday,roses,Valentine's Day,12,139.75,online,True
ORD-00264,2023-02-12,Sunday,gardenias,walk-in,5,103.42,in-store,False
ORD-00265,2023-02-12,Sunday,roses,Valentine's Day,12,131.28,in-store,False
ORD-00266,2023-02-12,Sunday,sunflowers,walk-in,1,14.46,in-store,True
ORD-00267,2023-02-12,Sunday,roses,Valentine's Day,12,191.95,in-store,True
ORD-00268,2023-02-12,Sunday,lilies,walk-in,2,31.77,in-store,False
ORD-00269,2023-02-12,Sunday,tulips,Valentine's Day,12,188.76,in-store,False
ORD-00270,2023-02-12,Sunday,roses,anniversary,3,39.06,online,True
ORD-00271,2023-02-12,Sunday,tulips,Valentine's Day,12,149.48,in-store,True
ORD-00272,2023-02-12,Sunday,tulips,Valentine's Day,6,95.94,in-store,False
ORD-00273,2023-02-12,Sunday,roses,Valentine's Day,12,186.03,in-store,False
ORD-00274,2023-02-12,Sunday,lilies,sympathy,3,54.42,online,True
ORD-00275,2023-02-12,Sunday,tulips,walk-in,5,90.89,in-store,False
ORD-00276,2023-02-13,Monday,gardenias,birthday,6,105.79,online,True
ORD-00277,2023-02-13,Monday,roses,birthday,3,41.31,in-store,True
ORD-00278,2023-02-13,Monday,roses,Valentine's Day,18,240.39,online,True
ORD-00279,2023-02-13,Monday,roses,Valentine's Day,24,317.73,online,True
ORD-00280,2023-02-13,Monday,roses,anniversary,2,19.24,online,True
ORD-00281,2023-02-13,Monday,hydrangeas,Valentine's Day,12,275.56,online,True
ORD-00282,2023-02-13,Monday,roses,Valentine's Day,18,249.64,online,True
ORD-00283,2023-02-13,Monday,roses,Valentine's Day,6,79.09,in-store,True
ORD-00284,2023-02-13,Monday,ferns,anniversary,4,43.92,online,False
ORD-00285,2023-02-13,Monday,hydrangeas,hospital,3,68.73,online,True
ORD-00286,2023-02-13,Monday,orchids,walk-in,5,244.46,online,True
ORD-00287,2023-02-13,Monday,roses,Valentine's Day,12,180.63,online,True
ORD-00288,2023-02-13,Monday,hydrangeas,walk-in,4,120.5,in-store,False
ORD-00289,2023-02-13,Monday,roses,sympathy,5,65.48,in-store,False
ORD-00290,2023-02-14,Tuesday,ferns,walk-in,3,29.71,in-store,False
ORD-00291,2023-02-14,Tuesday,peonies,Valentine's Day,12,272.2,in-store,False
ORD-00292,2023-02-14,Tuesday,roses,Valentine's Day,24,328.59,online,True
ORD-00293,2023-02-14,Tuesday,tulips,Valentine's Day,12,147.17,online,True
ORD-00294,2023-02-14,Tuesday,roses,Valentine's Day,12,157.18,in-store,False
ORD-00295,2023-02-14,Tuesday,gardenias,walk-in,6,114.56,in-store,False
ORD-00296,2023-02-14,Tuesday,hydrangeas,Valentine's Day,12,377.19,online,True
ORD-00297,2023-02-14,Tuesday,lilies,Valentine's Day,24,539.49,in-store,False
ORD-00298,2023-02-14,Tuesday,hydrangeas,Valentine's Day,6,158.24,online,True
ORD-00299,2023-02-14,Tuesday,peonies,birthday,1,21.22,in-store,False
ORD-00300,2023-02-14,Tuesday,gardenias,walk-in,4,88.5,in-store,True
ORD-00301,2023-02-14,Tuesday,roses,Valentine's Day,12,170.37,in-store,False
ORD-00302,2023-02-14,Tuesday,tulips,Valentine's Day,24,332.44,online,True
ORD-00303,2023-02-14,Tuesday,roses,hospital,3,36.41,in-store,True
ORD-00304,2023-02-14,Tuesday,roses,Valentine's Day,18,258.47,in-store,False
ORD-00305,2023-02-14,Tuesday,roses,Valentine's Day,24,366.12,in-store,True
ORD-00306,2023-02-14,Tuesday,hydrangeas,wedding,3,90.39,in-store,False
ORD-00307,2023-02-14,Tuesday,roses,corporate,5,52.0,in-store,False
ORD-00308,2023-02-14,Tuesday,sunflowers,walk-in,2,33.29,in-store,False
ORD-00309,2023-02-14,Tuesday,roses,Valentine's Day,18,228.38,online,True
ORD-00310,2023-02-14,Tuesday,hydrangeas,walk-in,6,156.8,online,True
ORD-00311,2023-02-14,Tuesday,orchids,corporate,10,479.19,online,True
ORD-00312,2023-02-14,Tuesday,lilies,corporate,8,121.46,online,True
ORD-00313,2023-02-14,Tuesday,roses,Valentine's Day,6,76.97,in-store,True
ORD-00314,2023-02-15,Wednesday,roses,birthday,4,46.7,in-store,False
ORD-00315,2023-02-15,Wednesday,ferns,walk-in,6,90.38,in-store,False
ORD-00316,2023-02-15,Wednesday,hydrangeas,walk-in,3,67.0,in-store,False
ORD-00317,2023-02-15,Wednesday,hydrangeas,walk-in,2,57.56,in-store,True
ORD-00318,2023-02-16,Thursday,ferns,walk-in,3,39.27,in-store,False
ORD-00319,2023-02-16,Thursday,gardenias,anniversary,6,87.29,online,True
ORD-00320,2023-02-16,Thursday,ferns,walk-in,6,62.59,in-store,False
ORD-00321,2023-02-16,Thursday,tulips,walk-in,5,66.26,in-store,False
ORD-00322,2023-02-16,Thursday,orchids,sympathy,4,194.73,online,True
ORD-00323,2023-02-16,Thursday,orchids,walk-in,5,225.38,in-store,False
ORD-00324,2023-02-17,Friday,orchids,walk-in,4,167.52,online,True
ORD-00325,2023-02-17,Friday,peonies,birthday,6,150.83,online,True
ORD-00326,2023-02-17,Friday,hydrangeas,wedding,10,240.79,in-store,False
ORD-00327,2023-02-17,Friday,orchids,corporate,20,853.51,in-store,False
ORD-00328,2023-02-17,Friday,roses,birthday,2,26.22,online,True
ORD-00329,2023-02-18,Saturday,tulips,birthday,5,77.66,in-store,True
ORD-00330,2023-02-18,Saturday,tulips,walk-in,6,82.92,in-store,False
ORD-00331,2023-02-18,Saturday,hydrangeas,birthday,3,79.29,online,True
ORD-00332,2023-02-18,Saturday,gardenias,walk-in,2,42.81,in-store,True
ORD-00333,2023-02-18,Saturday,roses,Valentine's Day,6,66.55,online,True
ORD-00334,2023-02-18,Saturday,roses,birthday,4,45.62,online,True
ORD-00335,2023-02-18,Saturday,roses,sympathy,4,47.19,online,True
ORD-00336,2023-02-19,Sunday,gardenias,walk-in,2,32.94,in-store,False
ORD-00337,2023-02-19,Sunday,hydrangeas,sympathy,4,114.4,in-store,False
ORD-00338,2023-02-19,Sunday,ferns,corporate,12,123.73,online,True
ORD-00339,2023-02-19,Sunday,hydrangeas,walk-in,2,57.99,in-store,True
ORD-00340,2023-02-19,Sunday,roses,birthday,4,58.29,online,True
ORD-00341,2023-02-19,Sunday,roses,birthday,3,34.73,in-store,True
ORD-00342,2023-02-19,Sunday,gardenias,walk-in,6,108.13,in-store,False
ORD-00343,2023-02-19,Sunday,peonies,anniversary,1,19.27,in-store,False
ORD-00344,2023-02-19,Sunday,lilies,sympathy,3,69.32,in-store,True
ORD-00345,2023-02-19,Sunday,sunflowers,walk-in,5,64.94,in-store,False
ORD-00346,2023-02-19,Sunday,ferns,sympathy,2,29.01,in-store,False
ORD-00347,2023-02-20,Monday,tulips,birthday,5,80.38,online,True
ORD-00348,2023-02-20,Monday,lilies,hospital,3,66.8,in-store,True
ORD-00349,2023-02-20,Monday,hydrangeas,walk-in,1,24.39,in-store,False
